,Unnamed: 0,text,confidence,end,start,speaker_start,speaker_end,speaker,talk_time_sec
0,0,This,0.91,0.42,0.0,,,,0.42
1,1,is,0.88,0.54,0.43,0.44384375,0.91465625,A,0.11000000000000004
2,2,"William,",0.86,0.9,0.55,0.91465625,4.757093749999999,B,0.35
3,3,"hey,",0.77,1.08,0.91,7.21071875,7.62921875,A,0.17000000000000004
4,4,"again,",0.72,1.41,1.09,8.754781249999999,60.79053125,B,0.31999999999999984
5,5,London.,0.93,1.68,1.42,61.01834375,120.81153125,A,0.26
6,6,This,0.99,1.89,1.69,,,,0.19999999999999996
7,7,is,0.99,1.98,1.9,,,,0.08000000000000007
8,8,David,0.91,2.22,1.99,,,,0.2300000000000002
9,9,Miliband,0.89,2.7,2.23,,,,0.4700000000000002
10,10,with,0.99,2.94,2.71,,,,0.22999999999999998
11,11,Brexit,0.99,3.36,2.95,,,,0.4099999999999997
12,12,in,0.99,3.57,3.36,,,,0.20999999999999996
13,13,60,0.94,3.9,3.58,,,,0.31999999999999984
14,14,seconds.,0.89,4.32,3.93,,,,0.3900000000000001
15,15,The,0.99,9.15,8.15,,,,1.0
16,16,great,0.94,9.45,9.16,,,,0.28999999999999915
17,17,thing,0.92,9.75,9.46,,,,0.28999999999999915
18,18,about,0.92,10.14,9.84,,,,0.3000000000000007
19,19,last,0.99,10.47,10.15,,,,0.3200000000000003
20,20,night's,0.9,10.86,10.48,,,,0.379999999999999
21,21,general,0.94,11.43,10.89,,,,0.5399999999999991
22,22,election,0.9,11.91,11.43,,,,0.4800000000000004
23,23,debate.,0.95,12.24,11.91,,,,0.33000000000000007
24,24,Was,0.98,12.81,12.54,,,,0.27000000000000135
25,25,that,0.95,13.05,12.82,,,,0.23000000000000043
26,26,the,0.91,13.23,13.06,,,,0.16999999999999993
27,27,great,0.99,13.53,13.24,,,,0.28999999999999915
28,28,British,0.92,13.83,13.54,,,,0.2900000000000009
29,29,public,0.92,14.19,13.84,,,,0.34999999999999964
30,30,rumbled,0.94,14.73,14.2,,,,0.5300000000000011
31,31,the,0.99,15.06,14.74,,,,0.3200000000000003
32,32,weakest,0.88,15.48,15.07,,,,0.41000000000000014
33,33,positions,0.92,15.99,15.49,,,,0.5
34,34,of,0.99,16.47,16.0,,,,0.46999999999999886
35,35,all,0.95,16.65,16.48,,,,0.16999999999999815
36,36,the,0.99,16.89,16.66,,,,0.23000000000000043
37,37,parties.,0.94,17.28,16.9,,,,0.38000000000000256
38,38,Boris,0.92,17.94,17.29,,,,0.6500000000000021
39,39,Johnson.,0.85,18.33,17.95,,,,0.379999999999999
40,40,They,0.97,18.66,18.34,,,,0.3200000000000003
41,41,laughed,0.96,18.99,18.67,,,,0.31999999999999673
42,42,when,1.0,19.17,19.0,,,,0.1700000000000017
43,43,he,0.87,19.29,19.18,,,,0.10999999999999943
44,44,said,0.94,19.53,19.3,,,,0.23000000000000043
45,45,that,0.99,19.89,19.54,,,,0.3500000000000014
46,46,his,0.99,20.16,19.9,,,,0.26000000000000156
47,47,fidelity,0.92,20.64,20.17,,,,0.46999999999999886
48,48,to,0.83,20.79,20.65,,,,0.14000000000000057
49,49,the,0.81,20.94,20.8,,,,0.14000000000000057
50,50,truth,0.89,21.36,20.95,,,,0.41000000000000014
51,51,could,0.98,21.66,21.36,,,,0.3000000000000007
52,52,know,0.97,21.87,21.67,,,,0.1999999999999993
53,53,no,0.92,22.08,21.88,,,,0.1999999999999993
54,54,bounds,0.95,22.5,22.08,,,,0.4200000000000017
